name,2018 Population,2017 Population,Growth Rate,Area,2018 Density
China,1415045.928,1409517.397,1.003922286,9706961,145.7764101
India,1354051.854,1339180.127,1.011105098,3287590,411.8676155
United States,326766.748,324459.463,1.007111166,9372610,34.86400778
Indonesia,266794.98,263991.379,1.010620048,1904569,140.0815513
Brazil,210867.954,209288.278,1.007547847,8515767,24.76206242
Pakistan,200813.818,197015.955,1.019276931,881912,227.7027844
Nigeria,195875.237,190886.311,1.026135588,923768,212.0394266
Bangladesh,166368.149,164669.751,1.010313965,147570,1127.384624
Russia,143964.709,143989.754,0.999826064,17098242,8.419854451
Mexico,130759.074,129163.276,1.012354889,1964375,66.56523016
Japan,127185.332,127484.45,0.99765369,377930,336.5314529
Ethiopia,107534.882,104957.438,1.02455704,1104300,97.37832292
Philippines,106512.074,104918.09,1.015192652,342353,311.1176885
Egypt,99375.741,97553.151,1.018683046,1002450,99.13286548
Vietnam,96491.146,95540.8,1.009947017,331212,291.3274459
Congo,84004.989,81339.988,1.032763725,2344858,35.8251924
Germany,82293.457,82114.224,1.002182728,357114,230.4402992
Iran,82011.735,81162.788,1.010459806,1648195,49.75851462
Turkey,81916.871,80745.02,1.014512982,783562,104.5442109
Thailand,69183.173,69037.513,1.002109867,513120,134.8284475
United Kingdom,66573.504,66181.585,1.005921874,242900,274.0778263
France,65233.271,64979.548,1.003904659,551695,118.2415483
Italy,59290.969,59359.9,0.998838762,301336,196.760324
Tanzania,59091.392,57310.019,1.031083099,945087,62.52481729
South Africa,57398.421,56717.156,1.012011621,1221037,47.00792933
Myanmar,53855.735,53370.609,1.009089759,676578,79.60018653
South Korea,51164.435,50982.212,1.003574247,100210,510.5721485
Kenya,50950.879,49699.862,1.025171438,580367,87.79079272
Colombia,49464.683,49065.615,1.008133354,1141748,43.32364322
Spain,46397.452,46354.321,1.000930463,505992,91.69601891
Argentina,44688.864,44271.041,1.00943784,2780400,16.0728183
Uganda,44270.563,42862.958,1.032839661,241550,183.2770151
Ukraine,44009.214,44222.947,0.995166921,603500,72.92330406
Algeria,42008.054,41318.142,1.016697556,2381741,17.63754077
Sudan,41511.526,40533.33,1.024133127,1886068,22.00955957
Iraq,39339.753,38274.618,1.027828756,438317,89.7518303
Poland,38104.832,38170.712,0.998274069,312679,121.8656578
Canada,36953.765,36624.199,1.008998586,9984670,3.70105021
Afghanistan,36373.176,35530.081,1.023729048,652230,55.7674072
Morocco,36191.805,35739.58,1.012653338,446550,81.04759825
Saudi Arabia,33554.343,32938.213,1.018705629,2149690,15.60892175
Peru,32551.815,32165.485,1.0120107,1285216,25.3278943
Venezuela,32381.221,31977.065,1.012638934,916445,35.33351265
Uzbekistan,32364.996,31910.641,1.014238354,447400,72.34017881
Malaysia,32042.458,31624.264,1.013223833,330803,96.86265844
Angola,30774.205,29784.193,1.033239511,1246700,24.68453116
Mozambique,30528.673,29668.834,1.02898122,801590,38.08514702
Nepal,29624.035,29304.998,1.010886778,147181,201.2762177
Ghana,29463.643,28833.629,1.021849972,238533,123.5201964
Yemen,28915.284,28250.42,1.023534659,527968,54.76711467
Madagascar,26262.81,25570.895,1.027058693,587041,44.73760777
North Korea,25610.672,25490.965,1.004696056,120538,212.4696942
CD Ivoire,24905.843,24294.75,1.025153294,322463,77.23628137
Australia,24772.247,24450.561,1.01315659,7692024,3.220510882
Cameroon,24678.234,24053.727,1.025963004,475442,51.90587706
Taiwan,23694.089,23626.456,1.002862596,36193,654.6594369
Niger,22311.375,21477.348,1.038832867,1267000,17.60960931
Sri Lanka,20950.041,20876.917,1.003502624,65610,319.3117055
Burkina Faso,19751.651,19193.382,1.029086536,272967,72.35911667
Romania,19580.634,19679.306,0.994986002,238391,82.13663267
Malawi,19164.728,18622.104,1.029138705,118484,161.749502
Mali,19107.706,18541.98,1.03051055,1240192,15.40705471
Kazakhstan,18403.86,18204.499,1.010951194,2724900,6.753957943
Syria,18284.407,18269.868,1.000795791,185180,98.73856248
Chile,18197.209,18054.726,1.007891729,756102,24.06713512
Zambia,17609.178,17094.13,1.030130109,752612,23.39741859
Guatemala,17245.346,16913.503,1.019620004,108889,158.3754649
Netherlands,17084.459,17035.938,1.002848155,41850,408.2308005
Zimbabwe,16913.261,16529.904,1.023191726,390757,43.28332186
Ecuador,16863.425,16624.858,1.014350017,276841,60.91375555
Senegal,16294.27,15850.567,1.027992879,196722,82.82891593
Cambodia,16245.729,16005.373,1.015017207,181035,89.73805618
Chad,15353.184,14899.994,1.030415448,1284000,11.95730841
Somalia,15181.925,14742.523,1.029805075,637657,23.80892078
Guinea,13052.608,12717.176,1.026376296,245857,53.09024352
South Sudan,12919.053,12575.714,1.02730175,619745,20.84575592
Rwanda,12501.156,12208.407,1.023979296,26338,474.643329
Tunisia,11659.174,11532.127,1.011016788,163610,71.26198888
Belgium,11498.519,11429.336,1.006053108,30528,376.6548415
Cuba,11489.082,11484.636,1.000387126,109884,104.5564595
Benin,11485.674,11175.692,1.027737164,112622,101.9842837
Burundi,11216.45,10864.245,1.032418728,27834,402.9765754
Bolivia,11215.674,11051.6,1.014846176,1098581,10.20923719
Greece,11142.161,11159.773,0.998421832,131990,84.41670581
Haiti,11112.945,10981.229,1.01199465,27750,400.4664865
Dominican Republic,10882.996,10766.998,1.010773477,48671,223.6032956
Czech Republic,10625.25,10618.303,1.000654248,78865,134.7270652
Portugal,10291.196,10329.506,0.996291207,92090,111.751504
Sweden,9982.709,9910.701,1.007265682,450295,22.16926459
Azerbaijan,9923.914,9827.589,1.009801488,86600,114.5948499
Jordan,9903.802,9702.353,1.020762902,89342,110.8527009
Hungary,9688.847,9721.559,0.996635108,93028,104.1497936
United Arab Emirates,9541.615,9400.145,1.015049768,83600,114.1341507
Belarus,9452.113,9468.338,0.998286394,207600,45.53040944
Honduras,9417.167,9265.067,1.016416503,112492,83.71410411
Tajikistan,9107.211,8921.343,1.020834083,143100,63.64228512
Serbia,8762.027,8790.574,0.996752544,88361,99.1617003
Austria,8751.82,8735.453,1.001873629,83871,104.3485829
Switzerland,8544.034,8476.005,1.008026069,41284,206.9575138
Israel,8452.841,8321.57,1.015774788,20770,406.9735676
Papua New Guinea,8418.346,8251.162,1.020261873,462840,18.18845821
Togo,7990.926,7797.694,1.02478066,56785,140.7224795
Sierra Leone,7719.729,7557.212,1.021504888,71740,107.6070393
Hong Kong,7428.887,7364.883,1.00869043,1104,6729.064312
Bulgaria,7036.848,7084.571,0.993263812,110879,63.46420873
Laos,6961.21,6858.16,1.015025896,236800,29.39700169
Paraguay,6896.908,6811.297,1.012568972,406752,16.95605184
Libya,6470.956,6374.616,1.015113067,1759540,3.677640747
El Salvador,6411.558,6377.853,1.005284694,21041,304.7173613
Nicaragua,6284.757,6217.581,1.010804202,130373,48.20597056
Kyrgyzstan,6132.932,6045.117,1.014526601,199951,30.67217468
