name,users
 China,"746,662,194"
 India,"391,292,635"
 United States,"245,436,423"
 Brazil,"123,927,230"
 Japan,"117,528,631"
 Russia,"110,003,284"
 Mexico,"75,937,568"
 Germany,"73,436,503"
 Indonesia,"66,244,991"
 United Kingdom,"62,354,410"
 Philippines,"57,342,723"
 France,"55,413,854"
 Nigeria,"47,743,541"
 South Korea,"47,094,267"
 Turkey,"46,395,500"
 Vietnam,"43,974,618"
 Iran,"42,731,675"
 Egypt,"37,519,531"
 Spain,"37,337,607"
 Italy,"36,442,438"
 Thailand,"32,710,169"
 Canada,"32,602,776"
 Argentina,"30,758,972"
 South Africa,"30,248,355"
 Pakistan,"29,965,859"
 Bangladesh,"29,738,660"
 Colombia,"28,287,098"
 Poland,"28,018,492"
 Malaysia,"24,572,446"
 Saudi Arabia,"23,803,319"
 Ukraine,"23,321,390"
 Australia,"21,288,648"
 Morocco,"20,555,783"
 Venezuela,"18,940,907"
 Taiwan,"18,786,473"
 Algeria,"17,440,299"
 Ethiopia,"15,739,371"
 Netherlands,"15,358,245"
 Uzbekistan,"14,713,955"
 Peru,"14,444,387"
 Kazakhstan,"13,814,581"
 Myanmar,"13,258,325"
 Kenya,"12,600,007"
 Chile,"11,822,229"
 Romania,"11,767,959"
 Sudan,"11,082,072"
 Belgium,"9,827,270"
 Ghana,"9,779,273"
 Uganda,"9,077,567"
 Sweden,"9,002,326"
 Ecuador,"8,857,767"
 United Arab Emirates,"8,398,268"
 Czech Republic,"8,115,252"
 Iraq,"7,898,106"
 Hungary,"7,730,451"
 Greece,"7,726,829"
 Azerbaijan,"7,605,244"
  Switzerland,"7,511,995"
 Austria,"7,346,074"
 Portugal,"7,303,699"
 Tanzania,"7,224,386"
 Yemen,"6,780,200"
 Belarus,"6,741,258"
 Sri Lanka,"6,665,916"
 Israel,"6,535,440"
 Dominican Republic,"6,530,903"
 Hong Kong,"6,375,381"
 Ivory Coast,"6,286,527"
 Serbia,"5,914,748"
 Jordan,"5,890,965"
 Syria,"5,873,785"
 Cameroon,"5,859,797"
 Tunisia,"5,801,972"
 Guatemala,"5,722,610"
   Nepal,"5,706,708"
 Denmark,"5,538,800"
 Norway,"5,112,817"
 Mozambique,"5,050,924"
 Democratic Republic of the Congo,"4,889,515"
 Finland,"4,826,246"
 Lebanon,"4,571,675"
 Singapore,"4,554,189"
 Cuba,"4,449,238"
 Slovakia,"4,381,507"
 Bolivia,"4,322,489"
 Bulgaria,"4,266,773"
 Zambia,"4,232,464"
 New Zealand,"4,123,439"
 Cambodia,"4,030,438"
 Senegal,"3,954,620"
 Ireland,"3,883,418"
 Angola,"3,745,750"
 Zimbabwe,"3,733,964"
 Afghanistan,"3,673,539"
 Paraguay,"3,453,445"
 Costa Rica,"3,207,258"
 Kuwait,"3,176,010"
 Oman,"3,089,369"
 Croatia,"3,063,044"
 Puerto Rico,"2,946,059"
 Palestinian Authority,"2,930,953"
 Moldova,"2,882,322"
 Honduras,"2,733,860"
 Burkina Faso,"2,603,042"
 Bosnia and Herzegovina,"2,438,208"
 Qatar,"2,423,068"
 Rwanda,"2,383,501"
 Uruguay,"2,286,820"
 Panama,"2,178,424"
 Lithuania,"2,163,155"
 Kyrgyzstan,"2,054,728"
 Mali,"1,999,226"
 Georgia,"1,962,702"
 Albania,"1,941,925"
 El Salvador,"1,839,969"
 Armenia,"1,813,386"
 Tajikistan,"1,788,044"
 Malawi,"1,738,600"
 Latvia,"1,574,256"
 Slovenia,"1,568,786"
 Nicaragua,"1,511,037"
 Macedonia,"1,501,798"
